gPlusUserId,currentPlace
100525684445234857383,"San Jose, CA"
100527225188442237326,"San Jose, California"
100531304702028472124,San Jose
100541050259318359702,San Jose
100544107049960609671,Mountain View
100555162448603417026,"San Jose, CA"
100556109458489793604,"Mountain View, CA"
100562194410547667298,"Sunnyvale, CA"
100563310144689081954,"San Jose, CA"
100565761572810776859,"Mountain View, CA"
100574757824961929377,San Jose
100576465354628857568,San Jose California USA
100576930831947255705,"Santa Clara, California"
100579369002544510261,"San Jose, CA"
100613968095050557718,Palo Alto
100617791877490362344,Sunnyvale Ca
100622204130464429420,"Santa Clara, CA"
100622219445576024688,Palo Alto CA
100629894577962791809,Campbell California
100638505113491107981,San Jose Ca
100641666612325684197,"San Jose, CA"
100642430994138591558,"San Jose, CA"
100646294119400809772,"Campbell, California"
100654007362564253163,"Santa Clara, CA 95050, United States"
100660886041638946246,"San Jose, California"
100669826643515036642,San Jose
100683030190943371917,"San Jose, CA"
100686869166134464604,Campbell CA. USA
100690882539698151181,"San Jose,California"
100699042304761823012,"Santa Clara, CA 95050, United States"
100717246976838782024,"Sunnyvale, Ca"
100719110432513315785,"Mountain View, CA"
100721815547041830268,"San Jose, CA"
100742269042336874742,"San Jose, CA"
100746743131720523252,"Mountain View, CA"
100748389800612779857,"Campbell, CA"
100755968308575364402,"Mountain View, CA"
100763374235741941608,Palo Alto
100763410003608743472,"San Jose, CA"
100766231441394096930,"San Jose, California"
100766808532785358158,"Santa Clara, CA 95050"
100782171192921782842,"Mountain View, CA"
100792441386120625837,"San Jose, CA"
100795653580605341905,"Palo Alto, CA"
100796659305737372739,"Palo Alto, CA"
100801499324699966020,Palo Alto CA
100814470728011512096,"San Jose, Ca 95110"
100815717686660266308,San Jose California
100817766199767691735,"Sunnyvale, CA"
100832763928941650470,"Palo Alto, CA"
100843174514302481705,San Jose
100845500681414841470,"San Jose, CA"
100846721213714155501,"Santa Clara, CA"
100891058056512612595,San Jose
100892980623524891334,"Sunnyvale, CA"
100904827127586172068,San Jose California
100905761674513905557,"Mountain View, CA"
100906008278456962370,"Cupertino, CA"
100912212839252823085,"Santa Clara, CA. USA"
100913499463646702778,San Jose
100920393637952449481,"Willow Glen - San Jose, CA"
100929543184324446980,San Jose
100931628916218898240,Santa Clara Ca
100935525583217640526,"Palo Alto, CA"
100935669209635784328,"Cupertino, CA"
100941020755271758197,"San Jose, CA"
100942946732546040885,Santa Clara
100952441119091106180,"Mountain View, California"
100961296163580375722,Santa Clara
100969359097910837817,"San Jose, CA"
100979963411553145507,Santa Clara
100981388284358828816,"Mountain View, CA"
100992263592576743899,"San Jose, CA"
100996042448540609823,Sunnyvale
101004758796102367719,San Jose
101009437269154816975,"Palo Alto, CA"
101018161532789979317,"Santa Clara, California"
101025731921407612942,"Mountain View, CA"
101030115344761746161,"San Jose, CA"
101030643704612054804,"Mountain View, CA"
101032613017865088539,San Jose
101037351754015136788,"San Jose, CA"
101043866026956183530,San Jose
101059587645347048555,Santa Clara County
101061663481225974736,"San Jose, CA"
101069279369638337429,"Mountain View, CA"
101083772844111125268,"San Jose, CA"
101101919614907272871,Campbell CA
101111330951237415604,"San Jose, CA"
101114412535775356794,"San Jose, CA"
101114690982214184175,"Mountain View, CA"
101119721946511392852,San Jose
101130787133617381154,"San Jose, CA"
101137877752321647728,"Mountain View, CA"
101140917159743762968,"Santa Clara, CA"
101144207226978564467,"Willow Glen, San Jose, CA, United States"
101147706118471884534,Palo Alto
101149790069455088279,"Mountain View, CA"
101154375704799463189,"Los Gatos, California"
101159417587770375686,San Jose
101184140247894341459,"San Jose, CA"
101218876614051635823,San Jose
101227362226546682158,"San Jose, CA"
101235148853940533940,Morgan Hill
101242295290268150473,"Palo Alto, CA"
101246387263333071454,"Mountain View, CA"
101249335658120600276,"Los Gatos, CA"
101258509127040887142,"Northwood Park, San Jose, CA"
101263326746770793795,"San Jose, CA 95133"
101267330000234624562,"San Jose, CA"
101272653916063274154,"Sunnyvale, CA"
101273128269974442121,Campbell CA
101275086786953607532,San Jose ca
101278409346784709482,Santa Clara
101289614731027065789,"Mountain View, CA"
101291738483018179638,"San Jose, CA"
101297831598246252608,"San Jose, CA"
101306069600849844261,"San Jose, CA"
101314437011034226833,San Jose
101316578185075840605,"Morgan Hill, Ca"
101334686671435632449,"Cupertino, CA"
101345352381033116572,"Palo Alto, CA"
101363260745603322896,"Santa Clara, CA"
101381364552289643538,"Los Gatos, California"
101388549887339352783,"San Jose, California."
101404945979636371198,"Los Gatos, CA"
101412577799286792127,"Santa Clara, CA"
101413910070163733438,"Mountain View, CA"
101418155492770700012,"Mountain View, CA"
101421590513982021375,Sunnyvale
101423489640553833870,"Gilroy, CA"
101425524124554121155,"San Jose, California"
101439015981983924557,"Santa Clara, CA"
101439507140299883643,"Mountain View, CA"
101447570370849833794,Sunnyvale
101468640463983799609,"San Jose, CA"
101476957236690990255,Sunnyvale
101501294230020638079,"Mountain View, CA"
101503171018433189315,"Gilroy, CA"
101513206252031905146,Santa Clara California
101535386532998573054,Palo Alto
101537356159371545604,San Jose
101539796596325728585,"Mountain View, CA"
101542227347344215465,"San Jose, CA"
101548457965940376344,San Jose
101562339624801585321,"Sunnyvale, CA"
101565427136431573657,"Sunnyvale, CA"
101574591334133709786,"San Jose, CA"
101580695859437902512,"Sunnyvale, CA"
101587554942028870707,"Sunnyvale, CA"
101589197151249557670,"Santa Clara, CA"
101601103206841957197,"Santa Clara, CA"
101615768204519204567,"1725 Berryessa Rd. Ste. B  San Jose, CA 95133"
101631428573249701842,"San Jose, CA"
101631599863125281042,"San Jose, CA"
101634508187479410737,"Mountain View, CA"
101635547091110345113,"Mountain View, CA"
101643527750352683677,"Palo Alto, CA"
101643787575483352560,"San Jose, Ca USA"
101644941144217550919,San Jose
101654133421414736506,"Mountain View, CA"
101655883364052009342,"San Jose, CA"
101662128919288834356,"San Jose, California"
101669526010612170436,Palo Alto
101671289601408230081,"San Jose, Ca, USA"
101675165574379935649,"Los Gatos, CA"
101685141807923410108,San Jose Ca
101686790412224089996,"Palo Alto, CA"
101692328734849111555,"Sunnyvale ,Ca"
101701576124647463619,"Sunnyvale, CA"
101706796337240296459,"San Jose, California"
101712066129154651641,Mountain View
101721068121187041582,"Mountain View, CA"
101722116818959280775,Santa Clara
101724311712617000506,"San Jose, CA. USA"
101745013660055644732,"Mountain View, CA"
101760671061487958661,"Sunnyvale, CA"
101771960863265041828,"Mountain View, California, USA"
101782628495867622093,"San Jose, CA"
101790530636842186724,"Palo Alto, CA"
101826426767266587398,"Sunnyvale, CA"
101833007570444828959,"San Jose, CA"
101849770087303795211,Sunnyvale
101857918459147955013,"Palo Alto, CA"
101880983101042867189,"Santa Clara, CA"
101888088652157354149,"Mountain View, CA"
101888488122919673571,"San Jose, CA"
101889210072502015703,Palo Alto
101891414812533472894,San Jose California
101894625624587952198,"San Jose, CA"
101902654707576449053,"San Jose, CA"
101904148261197340180,"Mountain View, CA"
101912023399837867403,"San Jose, CA"
101912470049739212268,San Jose
101912606245831153146,"Los Gatos, CA"
101922533902966159024,"San Jose, CA"
101932907608280169757,"Palo Alto, California"
101936143408243705319,"San Jose, CA"
101940529244872601609,San Jose
101946853201602031580,"Mountain View, CA"
101953659294060773040,"San Jose, CA"
101960119486044744170,"Gilroy, CA 95020, United States"
101964278188299427609,"San Jose, CA, USA"
101970514537631192165,Sunnyvale
101971062221441256392,"Santa Clara, CA"
101975153326598871119,"Mountain View, CA"
102003081092905206075,"Mountain View, California"
102005854183161760827,"San Jose, CA"
102006041696090786322,"San Jose, California"
102008089155038201910,"San Jose, Ca."
102034299697705722259,"San Jose, CA"
102041094542153376492,Cupertino
102043690518292143739,Santa Clara
102053381273068034374,"Palo Alto, CA"
102070112870647628906,"Campbell, CA"
102072939298562507805,"San Jose, CA"
102084475383080092476,"Santa Clara, CA"
102091247470387610526,"San Jose, California"
102093037435587879736,"San Jose, CA"
102103713241178065389,Mountain View
102106633029414435607,"Mt. Hamilton, San Jose, CA"
102107393060747225570,Mountain View
102108716629651647725,"San Jose, CA"
102109655212008003632,"Morgan Hill, CA"
102148627622743342372,"Santa Clara,CA"
102150202331787376597,"Mountain View, CA"
102150926254568584415,"Campbell, California"
102156294793798027662,San Jose ca
102171006350761704792,"Sunnyvale, CA"
102182008006879142217,Sunnyvale
102201014704458055109,"Mountain View, CA"
102233141423042023539,"Palo Alto, CA"
102243861148042421586,San Jose CA
102252946266413226175,"Mountain View, CA"
102260781077586260639,"Mountain View, CA"
102263322092818205960,"Santa Clara, CA"
102264628895681656981,"Santa Clara, CA"
102265719388062605115,"San Jose, CA"
102278042901887911558,"Saratoga, CA"
102287171325943092925,"San Jose, California"
102312302790582598288,"Mountain View, CA"
102330991499069989646,Morgan Hill
102334718579063421175,"San Jose, CA"
102341590493658551134,"San Jose, CA"
102345534186126041144,Mountain View
102350764023934601952,Mountain View
102351114771677804719,"San Jose, CA 95112"
102359498629555093925,"Mountain View, California"
102372880634617104009,"Mountain View, CA"
102383520607011129373,"San Jose, CA"
102385696201614840807,"Mountain View, CA"
102386116509512968476,"Mountain View, CA"
102395534726882462296,Palo Alto
102396270974367734136,Santa Clara
102396425347268813892,"Palo Alto, CA"
102402169683966046141,"San Jose, California"
102403365954382158684,San Jose Ca
102409471693094912741,"San Jose, Ca"
102413271284583047049,San Jose
102420654211388696572,Mountain View
102431025294552761076,"Mountain View, CA"
102432650279351051243,"San Jose, CA"
102440978574777816441,"Sunnyvale, California"
102451193315916178828,"Mountain View, CA"
102451489867734034367,"Sunnyvale, CA"
102452603552314336305,"Santa Clara, CA"
102460761028900882581,San Jose
102467586774827271291,San Jose
102485801299533417832,Palo Alto
102499316741761310523,"Cupertino, CA"
102501455893380068509,San Jose
102525019752788102270,"Morgan Hill, CA"
102525570603633418703,"San Jose, CA"
102530860396920854949,"Santa Clara, CA, US"
102534878642400782115,"Palo Alto, CA"
102535817591750515402,Mountain View
102538905206519918173,"Mountain View, Ca"
102549337404707035983,"Sunnyvale, CA"
102565788041265981867,"San Jose, CA"
102567821515653966330,"Sunnyvale, CA"
102570108014705788128,"San Jose, ca"
102580869952229317490,San Jose
102584429960265292502,"Mountain View, CA"
102601106068419072663,"Mountain View, CA 94043"
102604143312905944954,Santa Clara
102616661127638011148,"San Jose , CA"
102622379518622774227,"Palo Alto, CA"
102633037393674620951,"Mountain View, CA"
102635553202577655396,"San Jose, CA 95111"
102648148748642147788,"Mountain View, CA"
102648536675865841964,"San Jose, CA"
102650876960321607813,Los Altos
102662287832525728128,"San Jose, CA 95125"
102662465838717322484,"Mountain View, CA"
102662895307627441812,"San Jose, CA"
102676419541458075302,"Santa Clara, California"
102686990711164463557,"Saratoga, CA"
102691162710074076711,"San Jose, California"
102701579556987127218,"Sunnyvale, CA 94087"
102702709436702003397,Santa Clara
102725109790365996602,"Palo Alto, CA"
102726639982546743803,Mountain View
102766904556056700930,"Santa Clara, CA"
102771620194686863432,San Jose Ca
102772174072519452147,San Jose
102790216905840154054,"San Jose, CA 95125, United States"
102798878313529372410,"San Jose, CA"
102799537074173553922,"Santa Clara, CA"
102817996502246042660,Mountain View
102818655270952455333,"San Jose, CA"
102837845875216819095,"Mountain View, CA"
102846632548369254361,San Jose
102848762362933917561,"Saratoga, CA"
102856393868355026699,"San Jose, CA"
102870151225178611879,"Campbell, CA"
102872254180325064071,"San Jose, CA 95124, United States"
102873735039005886878,Santa Clara
102886890928048461197,"Mountain View, CA"
102897284842329873491,Mountain View
102899704158031435579,"Cupertino, California"
102903079132140835966,"Mountain View, CA"
102903417098166598961,"San Jose, Ca"
102908251316571764879,"Sunnyvale, California"
102908573008033003167,"Mountain View, CA"
102919066827015636503,Mountain View
102927391399644954756,Gilroy
102933691070445172933,San Jose
102939895971220280948,"Saratoga, CA 95070"
102941733332399423853,San Jose
102943833957664562797,"Mountain View, CA, USA"
102953750893205974554,Mountain View
102957003099023377521,Palo Alto
102964973553093254804,"Mountain View, California"
102970873779566311131,"San Jose, CA"
102975202002034831275,"Palo Alto, CA"
102977181734182508728,Gilroy
102977830574429705020,"Los Gatos, ca"
102979995481498428560,"Santa Clara, CA"
102984121671504309428,"San Jose, Ca"
102986008257719646832,"San Jose, CA"
103000811369607613407,"Campbell, CA 95008, United States"
103010824366947087578,"San Jose, CA"
103016187540331884950,"San Jose, CA"
103018106347008587167,Los Altos
103022570094091940058,"San Jose, California, United States"
103022817021170264252,"Santa Clara, California"
103022818957886913622,"Gilroy, CA"
103023434712821822475,"Milpitas, California"
103048703815036056325,"San Jose, CA"
103052953154288027074,Mountain View
103053013620105950083,"San Jose, CA"
103054987031117291432,"Campbell, CA"
103063930049267157599,San Jose
103073491679741548297,"Palo Alto, CA"
103086538892067696779,"San Jose, CA"
103104079397182944597,"Mountain View, CA"
103110853227545467372,"San Jose, CA"
103113612131179883827,"Sunnyvale, CA"
103115464542679395301,"Cupertino, CA"
103116662508889780280,"San Jose, Ca."
103132908536693415051,"Palo Alto, CA"
103139845239231992912,"Palo Alto,CA"
103146292836298123518,"Los Altos, CA"
103159038258888805788,"San Jose, CA"
103180209120547476737,"Cupertino, CA"
103187811501549637508,"Sunnyvale, CA"
103201457792209287286,"Los Gatos, CA"
103204397792168249151,"Sunnyvale, CA"
103240247640339476615,Mountain View
103253073615307337702,Sunnyvale California
103253417842130417839,"Mountain View, CA"
103255900839613998267,"San Jose, CA"
103279530278747207914,San Jose
103286608250694013489,"San Jose, CA"
103293832211164757839,"San Jose, CA"
103300363750121441954,"Mountain View, CA"
103301008683592593687,Los Altos CA
103307881531051272174,Cupertino
103308582162438790993,"Sunnyvale, CA"
103322096164320811619,"Palo Alto, CA"
103328780642784170404,"Campbell, CA"
103329761043692640682,"San Jose, CA USA"
103335004405992000119,"San Jose, CA"
103338363790893534245,"San Jose, CA"
103361795253127496096,"Los Gatos, CA 95033, United States"
103368209379807827198,"San Jose, CA 95134"
103391239446673461028,San Jose
103393615353113579978,"Los Gatos, CA"
103430808125397993186,"Palo Alto, California"
103434057344076654355,Mountain View
103436307995345678639,Mountain View
103438332263642514693,"San Jose, CA"
103463638892924444568,Morgan Hill
103469210394974380737,"Mountain View, California"
103475585252164199913,"Mountain View, CA"
103483285267138850212,"San Jose, CA"
103491258445207125434,"San Jose, CA"
103493917773604532264,"San Jose, CA"
103522039118349401491,"San Jose, CA"
103522191271754853617,Mountain View
103523088620327024215,"Sunnyvale, CA 94085"
103526364351481100515,Gilroy ca
103538298566249233853,"Los Gatos, CA"
103544631006741911137,San Jose
103549989057569045838,"Mountain View, CA"
103561532196838098840,"San Jose, CA"
103582214929409926296,"Mountain View, CA"
103589662732619576817,"San Jose, Ca"
103591162764281041523,"Sunnyvale, CA"
103594734078090593089,"Cupertino, CA"
103595035354888977038,San Jose
103610497023741729370,Santa Clara
103615286126064465067,"Campbell, CA"
103615643667665829587,"San Jose, CA"
103616982826996546386,Sunnyvale
103617026666842952568,"Santa Clara, CA USA"
103630387222880212398,"Cupertino,  CA"
103644947159586437284,"Morgan Hill, CA 95037"
103646908782123783418,"San Jose, Ca."
103651031798446567094,Santa Clara
103663311403140102799,"San Jose, CA"
103672594727211623840,"San Jose, CA"
103680227863448943693,Gilroy
103688405513400260462,"Mountain View, CA"
103691389133860492858,"Mountain View, CA"
103699246387620043405,"San Jose, CA"
103722630985576669446,San Jose
103730024173906426739,"Mountain View, CA"
103737211115630462581,Sunnyvale
103761486492790758399,"San Jose, CA"
103772137930459967801,"2212 Ringwood Avenue, San Jose, CA"
103772301526352100970,"San Jose, CA"
103772883145285066671,"Milpitas, CA USA"
103774401952723835695,San Jose
103799964238817492395,"Mountain View, CA"
103805474620981626511,"San Jose, CA"
103809895066809270880,"Sunnyvale, California"
103811686658992731712,"Campbell, CA 95008"
103818994102066891698,Cupertino
103835876288653448735,"Cupertino, CA  USA"
103840131169253354981,"San Jose, CA"
103840227216367462548,"Los Gatos, CA"
103857298352152931604,Sunnyvale
103860818701625518603,5407 studebaker circle San Jose ca 95136
103863329462831863985,"Mountain View, California, USA"
103887845752641547884,"Mountain View, California"
103891832733507561951,"San Jose, CA"
103893121301860269944,"San Jose, CA"
103895612269625106940,"San Jose, Ca"
103909552593199985557,"Mountain View, CA"
103910216579365791160,"Campbell, CA"
103919540651881142017,"Mountain View, CA"
103927824015892475666,"Saratoga, CA, USA"
103929517931449536128,"San Jose, CA"
103946905111065297496,"Santa Clara, CA, USA"
103947316759724119751,"San Jose, California"
103947836466033012521,"Mountain View, CA"
103958383796502826946,"Saratoga, CA"
103966858430996348462,"Los Altos, CA"
103982070049028074109,"San Jose, CA"
103982514363530804821,"Santa Clara, CA"
103992114291974390176,"Santa Clara, CA 95050"
104012948245266998396,"San Jose, CA"
104027391625863742263,"Mountain View, California"
104038620313177595145,Mountain View
104041241690396483524,Palo Alto
104049263899609220762,San Jose
104059642034352407871,"Sunnyvale, California"
104064623460015726488,Sunnyvale
104065746404104536420,"San Jose, CA"
104067721748855924727,"Sunnyvale, CA"
104096170093947035662,"1228 West McKinley Ave. #7, Sunnyvale, CA 94086"
104105873388459312441,"Sunnyvale, CA"
104115233137932847564,"16337 Redwood Lodge Road, Los Gatos, CA 95033"
104117417537179283886,"San Jose, CA"
104124326262942476641,"San Jose, CA"
104133448645989267087,San Jose
104145178994489994915,"Campbell,Ca"
104154886204131064858,San Jose
104160805348522806329,"Campbell, CA"
104161697972605523861,"Sunnyvale, California"
104174830201697072604,San Jose
104182874366116578695,"San Jose, CA"
104195755160213461582,"Mountain View, CA"
104197855475683514253,"Sunnyvale, CA"
104215248472509838474,"San Jose, California, USA"
104216915830118920228,"Mountain View, California"
104221257931660993723,"San Jose, CA"
104221634390111541808,"Mountain View, CA"
104233346412918793542,"Campbell, CA 95008"
104236213870410269849,Santa Clara
104257898121542568651,"Sunnyvale, CA"
104258200624614410590,"San Jose, California"
104258414335230045136,"San Jose, CA"
104270775783009932881,"Mountain View, CA"
104283706339493968099,Mountain View
104298694352194582460,"Santa Clara, CA"
104308322016887323049,San Jose
104313839510492224546,"San Jose, California"
104315209831355087402,"San Jose, CA"
104341829875833619055,"Sunnyvale, California"
104348235682884550941,San Jose
104355822316552978731,"Santa Clara, California, USA"
104362169044492956343,"San Jose, CA"
104365350493623062534,San Jose
104380587084747819098,"Mountain View, US"
104381067216264823783,"San Jose, CA 95112, United States"
104381190160255603587,Mountain View
104383113257832538591,Mountain View
104402386890161186206,"Los Gatos, CA"
104410235468932432659,"San Jose, CA"
104412641405478127168,"Santa Clara, CA"
104414615497217351500,"Palo Alto, CA"
104424372771907989380,"San Jose, CA, United States"
104435082618104157597,"San Jose, CA 95118"
104448871532735609217,San Jose
104450667924979918462,"San Jose, California"
104459422021222038930,"Mountain View, CA"
104462775750006582452,"Campbell, CA"
104466473723220875120,"San Jose, CA 95120"
104469793111570979283,"Sunnyvale, CA 94086"
104477463842311984486,"Cupertino, CA"
104481823512498213721,"San Jose, CA"
104485234683950945133,"Sunnyvale, Ca."
104489736819256904474,San Jose
104493809031638204696,"Campbell, CA"
104504012230321776411,"Mountain View, CA"
104514215024130907926,"Sunnyvale, CA"
104514993729312332832,"Mountain View, CA"
104515281538207434831,"San Jose, CA 95125"
104535866546798318016,"658 North King Road, San Jose, CA"
104545546470427905942,"San Jose, CA"
104547692328333932021,"Santa Clara, CA"
104554340160383610397,"San Jose, CA"
104560940132091233540,Cupertino
104569965524162858054,"San Jose, CA"
104588126304399049255,San Jose
104590679115373204864,"Campbell, CA"
104600278106130078543,Milpitas CA
104609324328692367680,"Saratoga, CA"
104617833000421098021,"Sunnyvale, CA"
104626770785698767711,"Sunnyvale, CA"
104632457093071492395,"San Jose, CA 95112"
104649503945598973602,"Palo Alto, CA"
104653461938409998253,"Palo Alto, CA"
104653836947055045794,San Jose
104654239086222617029,San Jose
104656557932396673165,"San Jose, CA"
104671438734702118902,"San Jose, Ca"
104676685610865620877,San Jose California
104677627534858440637,"Sunnyvale, CA"
104690083854972467438,"Mountain View, California"
104692411875269101679,"Sunnyvale, CA"
104699810500525114828,"Mountain View, CA"
104700176487538967501,San Jose
104707472500772081986,Santa Clara
104714903353159990739,Santa Clara
104720054849847206277,"San Jose, CA"
104724274357746831061,"San Jose, CA"
104727718422077227100,"Palo Alto, CA"
104729726031498670481,Los Gatos CA
104730335601801306782,"San Jose, Ca"
104736463265494342886,"Sunnyvale, CA"
104742614037186392793,"Palo Alto, CA"
104744871076396904202,"Los Gatos, California"
104756861843949762739,"San Jose, CA"
104757489703244452560,San Jose
104761730065537020636,Cupertino
104768542470009091531,"Los Altos, CA"
104779744227830914641,"San Jose, CA"
104798097088752567286,"Los Altos, CA"
104799655427851314559,"San Jose, CA, United States"
104802472625505195354,"San Jose, CA"
104805219551621965160,"Palo Alto, CA"
104808328655777075682,"San Jose, CA"
104808779804945796370,"San Jose, CA"
104808787299055319384,"San Jose, CA"
104809078796105937257,"Sunnyvale, CA"
104816218264822479742,"Palo Alto, CA"
104822148447769571820,"Mountain View, CA"
104827539582427493315,San Jose
104848517089540637231,"Mountain View, CA"
104854606503751959975,"Mountain View, CA"
104860207898115479179,"Cupertino, CA, United States"
104865210632594042799,"Mountain View, CA"
104869336161692909932,"Cupertino, CA 95014"
104871113713923058972,"Palo Alto, CA"
104874619380152652392,Mountain View
104882585213189292801,"Mountain View, CA"
104882952520347301749,Mountain View
104885070271037380646,"Mountain View, California"
104892551897642726977,"San Jose, CA"
104896537673470410734,"Mountain View, CA"
104903895914396893235,"Los Altos, California"
104908340805164656895,"Santa Clara, CA"
104913278000622813462,"San Jose, CA"
104913948016445309809,"Sunnyvale, CA"
104917736890891383144,"Mountain View, CA"
104922030939848932494,"San Jose, Ca"
104924939585021190517,"San Jose, California, USA"
104934317807167850246,"Santa Clara, CA 95054, United States"
104934956617010277052,"Palo Alto, CA"
104942635482871856730,San Jose California
104954577593392929036,"Palo Alto, Ca"
104965485201595394335,"Los Gatos, CA"
104966979986574497517,Santa Clara
104969936976207115639,"Cupertino, CA"
104972554943502043029,"San Jose, CA"
104973077038050828162,"Mountain View, California"
104973640991669156931,"San Jose, CA"
104983861770891883443,"San Jose, CA"
104999923490818138573,Santa Clara
105007636339470618523,"Mountain View, CA"
105007978003812028840,"San Jose, CA, USA"
105010626175440780401,"Milpitas, Ca"
105022237091991065530,"Mountain View, CA"
105050117605857775783,"San Jose, CA 95126, United States"
105065558846775182864,"Los Altos, CA"
105069424007957267204,"Los Gatos, California"
105079613344216566986,"Sunnyvale, CA"
105088932881523812789,"Mountain View, CA 94043"
105096271979626700004,"San Jose, CA"
105101488180175019781,Milpitas
105101740180124477105,"Santa Clara, CA"
105105021056355039264,"Palo Alto, CA"
105109949610688806837,San Jose
105110541607326329453,"Mountain View, CA"
105114464541665786750,"Palo Alto, CA"
105115240949085911346,"Sunnyvale, CA"
105121635714017553750,San Jose
105123633206271024986,Cupertino
105124830376072889607,"San Jose, CA"
105126312267915112280,"Santa Clara, California"
105138556968196911698,"Palo Alto, CA"
105143879306609498815,"Mountain View, CA, USA"
105152503384268783597,"Los Altos Hills, CA"
105158906459228618120,Gilroy
105171200303491843950,"San Jose, CA"
105188006326758200253,"Palo Alto, CA"
105191469350011234484,"Palo Alto, CA"
105197869658564602744,"San Jose, CA"
105229597069891952213,"Morgan Hill, CA"
105229686595945792364,"Santa Clara, CA"
105261904717533854027,San Jose
105263585893976393042,"San Jose, CA"
105273608019895365111,Mountain View
105279197618750104369,"Campbell, CA 95008"
105280235869656865291,San Jose
105282549926577948262,"Mountain View, CA"
105290226622485788994,"San Jose, CA"
105300298668314022855,"Mountain View, CA"
105305534631287472457,"San Jose, CA"
105313398500126288610,"Palo Alto, CA"
105313683921983250964,San Jose
105324118345293600181,"Milpitas, CA"
105325221414180572239,San Jose
105328638488503423698,"San Jose, California, USA"
105330516239590931670,"Mountain View, CA"
105332917839725645173,"San Jose, CA"
105338885055199722148,Mountain View
105350543903875286993,"San Jose, CA 95148, United States"
105354093605110988357,San Jose CA
105390100105302533458,"San Jose, Ca"
105395848549113665929,"Campbell, California"
105398903566215134907,San Jose
105400414072790624253,Palo Alto
105401119527734619979,"San Jose, CA"
105409773653508395187,Palo Alto
105413272837588853887,"San Jose, CA"
105426025211020326609,Santa Clara Ca
105431853163089795769,"Mountain View, CA"
105433835119414296278,"San Jose, Ca"
105449501432597042119,Sunnyvale
105458162626970854181,"San Jose, California USA"
105466407629752817613,"Palo Alto, CA 94306"
105472928056242009242,"San Jose, CA"
105473223265010803457,"San Jose, California"
105503747337707752390,"Morgan Hill, CA 95037"
105520257287760182944,San Jose
105524775690439706900,San Jose
105529381445332013401,"Milpitas, CA 95035"
105540241924141497089,"Mountain View, CA, USA"
105551989431666449555,"Mountain View, CA"
105556120523083738641,"Los Gatos, CA 95033, United States"
105564907817287466109,San Jose
105568891896536880306,San Jose
105569462731896305770,"Santa Clara, CA"
105569550671492113769,"Mountain View, CA"
105572094064062705467,"Palo Alto, CA"
105574411401507562672,"Santa Clara, CA"
105574780415003278667,"Palo Alto, CA"
105575760656035574508,"San Jose, CA"
105580508742467991796,"Milpitas, CA"
105593551805422072784,"San Jose, California"
105610845038147350711,"Los Gatos, CA"
